,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301110924,2024-09-11
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301110924,2024-09-11
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S16301110924,2024-09-11
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301110924,2024-09-11
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301120924,2024-09-12
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301120924,2024-09-12
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301120924,2024-09-12
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301120924,2024-09-12
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301120924,2024-09-12
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301120924,2024-09-12
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301120924,2024-09-12
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301120924,2024-09-12
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301120924,2024-09-12
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301120924,2024-09-12
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301120924,2024-09-12
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301120924,2024-09-12
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301120924,2024-09-12
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301120924,2024-09-12
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301120924,2024-09-12
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S16301120924,2024-09-12
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301120924,2024-09-12
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301190924,2024-09-19
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301190924,2024-09-19
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301190924,2024-09-19
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301190924,2024-09-19
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301190924,2024-09-19
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301190924,2024-09-19
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301190924,2024-09-19
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301190924,2024-09-19
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301190924,2024-09-19
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301190924,2024-09-19
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301190924,2024-09-19
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301190924,2024-09-19
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301190924,2024-09-19
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301190924,2024-09-19
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301190924,2024-09-19
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S16301190924,2024-09-19
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301190924,2024-09-19
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301260924,2024-09-26
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301260924,2024-09-26
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301260924,2024-09-26
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301260924,2024-09-26
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301260924,2024-09-26
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301260924,2024-09-26
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301260924,2024-09-26
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301260924,2024-09-26
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301260924,2024-09-26
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301260924,2024-09-26
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301260924,2024-09-26
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301260924,2024-09-26
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301260924,2024-09-26
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301260924,2024-09-26
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301260924,2024-09-26
15,"Вода, обогащенная кислородом-18",ЦМИ,2406M005,2026-06-01 00:00:00, ,S16301260924,2024-09-26
16,Вода для промывки линий доставки,ООО «Гротекс»,160224,2027-01-01 00:00:00,"114-116, СТ-05530/A",S16301260924,2024-09-26
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301300924,2024-09-30
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301300924,2024-09-30
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301300924,2024-09-30
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301300924,2024-09-30
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301300924,2024-09-30
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301300924,2024-09-30
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301300924,2024-09-30
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301300924,2024-09-30
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301300924,2024-09-30
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301300924,2024-09-30
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301300924,2024-09-30
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301300924,2024-09-30
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301300924,2024-09-30
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301300924,2024-09-30
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301300924,2024-09-30
15,"Вода, обогащенная кислородом-18",ЦМИ,2406M005,2026-06-01 00:00:00, ,S16301300924,2024-09-30
16,Вода для промывки линий доставки,ООО «Гротекс»,160224,2027-01-01 00:00:00,"114-116, СТ-05530/A",S16301300924,2024-09-30
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401030924,2024-09-03
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401030924,2024-09-03
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401030924,2024-09-03
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401030924,2024-09-03
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401030924,2024-09-03
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401030924,2024-09-03
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401030924,2024-09-03
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401030924,2024-09-03
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401030924,2024-09-03
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401030924,2024-09-03
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401030924,2024-09-03
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401030924,2024-09-03
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401030924,2024-09-03
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401030924,2024-09-03
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401030924,2024-09-03
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401030924,2024-09-03
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401030924,2024-09-03
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401040924,2024-09-04
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401040924,2024-09-04
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401040924,2024-09-04
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401040924,2024-09-04
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401040924,2024-09-04
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401040924,2024-09-04
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401040924,2024-09-04
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401040924,2024-09-04
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401040924,2024-09-04
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401040924,2024-09-04
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401040924,2024-09-04
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401040924,2024-09-04
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401040924,2024-09-04
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401040924,2024-09-04
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401040924,2024-09-04
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401040924,2024-09-04
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401040924,2024-09-04
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401050924,2024-09-05
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401050924,2024-09-05
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401050924,2024-09-05
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401050924,2024-09-05
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401050924,2024-09-05
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401050924,2024-09-05
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401050924,2024-09-05
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401050924,2024-09-05
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401050924,2024-09-05
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401050924,2024-09-05
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401050924,2024-09-05
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401050924,2024-09-05
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401050924,2024-09-05
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401050924,2024-09-05
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401050924,2024-09-05
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401050924,2024-09-05
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401050924,2024-09-05
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401060924,2024-09-06
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401060924,2024-09-06
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401060924,2024-09-06
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401060924,2024-09-06
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401060924,2024-09-06
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401060924,2024-09-06
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401060924,2024-09-06
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401060924,2024-09-06
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401060924,2024-09-06
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401060924,2024-09-06
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401060924,2024-09-06
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401060924,2024-09-06
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401060924,2024-09-06
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401060924,2024-09-06
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401060924,2024-09-06
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401060924,2024-09-06
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401060924,2024-09-06
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401070924,2024-09-07
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401070924,2024-09-07
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401070924,2024-09-07
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401070924,2024-09-07
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401070924,2024-09-07
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401070924,2024-09-07
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401070924,2024-09-07
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401070924,2024-09-07
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401070924,2024-09-07
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401070924,2024-09-07
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401070924,2024-09-07
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401070924,2024-09-07
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401070924,2024-09-07
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401070924,2024-09-07
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401070924,2024-09-07
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401070924,2024-09-07
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401070924,2024-09-07
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401100924,2024-09-10
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401100924,2024-09-10
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401100924,2024-09-10
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401100924,2024-09-10
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401100924,2024-09-10
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401100924,2024-09-10
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401100924,2024-09-10
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401100924,2024-09-10
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401100924,2024-09-10
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401100924,2024-09-10
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401100924,2024-09-10
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401100924,2024-09-10
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401100924,2024-09-10
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401100924,2024-09-10
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401100924,2024-09-10
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401100924,2024-09-10
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401100924,2024-09-10
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401130924,2024-09-13
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401130924,2024-09-13
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401130924,2024-09-13
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401130924,2024-09-13
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401130924,2024-09-13
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401130924,2024-09-13
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401130924,2024-09-13
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401130924,2024-09-13
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401130924,2024-09-13
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401130924,2024-09-13
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401130924,2024-09-13
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401130924,2024-09-13
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401130924,2024-09-13
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401130924,2024-09-13
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401130924,2024-09-13
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401130924,2024-09-13
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401130924,2024-09-13
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401170924,2024-09-17
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401170924,2024-09-17
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401170924,2024-09-17
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401170924,2024-09-17
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401170924,2024-09-17
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401170924,2024-09-17
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401170924,2024-09-17
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401170924,2024-09-17
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401170924,2024-09-17
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401170924,2024-09-17
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401170924,2024-09-17
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401170924,2024-09-17
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401170924,2024-09-17
